,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
239,2006,ERI,Eritrea,DJI,Djibouti,CAN,Canada,5,"[39.0, 15.0]","[43.0, 11.5]","[-95.0, 60.0]"
240,2006,IRQ,Iraq,KEN,Kenya,USA,United States of America,2,"[44.0, 33.0]","[38.0, 1.0]","[-97.0, 38.0]"
241,2006,COD,Dem. Rep. of the Congo,SOM,Somalia,SWE,Sweden,1,"[25.0, 0.0]","[49.0, 10.0]","[15.0, 62.0]"
242,2006,COD,Dem. Rep. of the Congo,COG,Congo,IRL,Ireland,1,"[25.0, 0.0]","[15.0, -1.0]","[-8.0, 53.0]"
243,2006,COD,Dem. Rep. of the Congo,KEN,Kenya,AUS,Australia,33,"[25.0, 0.0]","[38.0, 1.0]","[133.0, -27.0]"
244,2006,SDN,Sudan,ETH,Ethiopia,FIN,Finland,10,"[30.0, 15.0]","[38.0, 8.0]","[26.0, 64.0]"
245,2006,SOM,Somalia,ERI,Eritrea,NLD,Netherlands,15,"[49.0, 10.0]","[39.0, 15.0]","[5.75, 52.5]"
246,2006,SOM,Somalia,RWA,Rwanda,CAN,Canada,1,"[49.0, 10.0]","[30.0, -2.0]","[-95.0, 60.0]"
247,2006,COD,Dem. Rep. of the Congo,COG,Congo,SWE,Sweden,5,"[25.0, 0.0]","[15.0, -1.0]","[15.0, 62.0]"
248,2006,COD,Dem. Rep. of the Congo,SOM,Somalia,NOR,Norway,3,"[25.0, 0.0]","[49.0, 10.0]","[10.0, 62.0]"
249,2006,SOM,Somalia,DJI,Djibouti,CAN,Canada,6,"[49.0, 10.0]","[43.0, 11.5]","[-95.0, 60.0]"
250,2006,SOM,Somalia,KEN,Kenya,USA,United States of America,2976,"[49.0, 10.0]","[38.0, 1.0]","[-97.0, 38.0]"
251,2006,COD,Dem. Rep. of the Congo,SOM,Somalia,CAN,Canada,3,"[25.0, 0.0]","[49.0, 10.0]","[-95.0, 60.0]"
