Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2016,ERI,Eritrea,SDN,Sudan,FRA,France,88
2016,COD,Dem. Rep. of the Congo,KEN,Kenya,AUS,Australia,48
2016,COD,Dem. Rep. of the Congo,COD,Dem. Rep. of the Congo,CAN,Canada,1
2016,SOM,Somalia,KEN,Kenya,SWE,Sweden,222
2016,ERI,Eritrea,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,3
2016,SOM,Somalia,DJI,Djibouti,USA,United States of America,194
2016,ERI,Eritrea,SDN,Sudan,USA,United States of America,214
2016,ERI,Eritrea,KEN,Kenya,AUS,Australia,23
2016,ERI,Eritrea,ETH,Ethiopia,CAN,Canada,1
2016,COD,Dem. Rep. of the Congo,RWA,Rwanda,SWE,Sweden,13
2016,SOM,Somalia,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,200
2016,COD,Dem. Rep. of the Congo,ETH,Ethiopia,USA,United States of America,20
2016,SOM,Somalia,KEN,Kenya,AUS,Australia,54
2016,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,7365
2016,COD,Dem. Rep. of the Congo,KEN,Kenya,CAN,Canada,17
2016,ERI,Eritrea,SSD,South Sudan,SWE,Sweden,6
2016,COD,Dem. Rep. of the Congo,BDI,Burundi,NOR,Norway,1
2016,SDN,Sudan,KEN,Kenya,GBR,United Kingdom of Great Britain and Northern Ireland,1
2016,ERI,Eritrea,ETH,Ethiopia,USA,United States of America,1929
2016,COD,Dem. Rep. of the Congo,RWA,Rwanda,AUS,Australia,1
2016,SOM,Somalia,ERI,Eritrea,NZL,New Zealand,88
2016,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,4752
2016,SOM,Somalia,KEN,Kenya,CAN,Canada,22
2016,ERI,Eritrea,SDN,Sudan,SWE,Sweden,162
2016,SDN,Sudan,ERI,Eritrea,NOR,Norway,8
2016,ERI,Eritrea,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,1
2016,SOM,Somalia,ETH,Ethiopia,USA,United States of America,4119
2016,ERI,Eritrea,SDN,Sudan,AUS,Australia,66
2016,COD,Dem. Rep. of the Congo,BDI,Burundi,SWE,Sweden,17
2016,ERI,Eritrea,UGA,Uganda,USA,United States of America,14
2016,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,SWE,Sweden,6
