Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2014,COD,Dem. Rep. of the Congo,BWA,Botswana,SWE,Sweden,6
2014,SOM,Somalia,ZAF,South Africa,FIN,Finland,3
2014,ERI,Eritrea,AGO,Angola,CAN,Canada,1
2014,SOM,Somalia,ZAF,South Africa,USA,United States of America,1040
2014,COD,Dem. Rep. of the Congo,ZMB,Zambia,DNK,Denmark,8
2014,SOM,Somalia,ZAF,South Africa,CAN,Canada,154
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,40
2015,COD,Dem. Rep. of the Congo,MOZ,Mozambique,USA,United States of America,42
2015,ERI,Eritrea,ZWE,Zimbabwe,USA,United States of America,6
2015,ERI,Eritrea,ZAF,South Africa,CAN,Canada,1
2015,ERI,Eritrea,MOZ,Mozambique,USA,United States of America,1
2015,COD,Dem. Rep. of the Congo,MWI,Malawi,FIN,Finland,85
2015,COD,Dem. Rep. of the Congo,NAM,Namibia,DNK,Denmark,7
2015,SOM,Somalia,ZAF,South Africa,CAN,Canada,34
2015,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,236
2015,SOM,Somalia,ZAF,South Africa,FIN,Finland,2
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,DNK,Denmark,8
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,4
2015,SOM,Somalia,NAM,Namibia,USA,United States of America,1
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,FIN,Finland,127
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,DNK,Denmark,18
2015,COD,Dem. Rep. of the Congo,LSO,Lesotho,SWE,Sweden,2
2015,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,CAN,Canada,21
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,166
2015,SOM,Somalia,ZMB,Zambia,FIN,Finland,6
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,NLD,Netherlands,2
2015,SOM,Somalia,ZMB,Zambia,DNK,Denmark,1
2015,COD,Dem. Rep. of the Congo,BWA,Botswana,CAN,Canada,3
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,5
2015,SOM,Somalia,ZWE,Zimbabwe,CAN,Canada,5
2015,ERI,Eritrea,ZAF,South Africa,USA,United States of America,15
2015,SOM,Somalia,BWA,Botswana,CAN,Canada,11
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,NLD,Netherlands,1
2015,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,DNK,Denmark,1
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,SWE,Sweden,43
2015,SOM,Somalia,ZAF,South Africa,USA,United States of America,1058
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,NOR,Norway,8
2015,SOM,Somalia,MDG,Madagascar,CAN,Canada,1
2015,COD,Dem. Rep. of the Congo,ZAF,South Africa,GBR,United Kingdom of Great Britain and Northern Ireland,1
2015,SDN,Sudan,ZAF,South Africa,USA,United States of America,1
2015,SOM,Somalia,ZAF,South Africa,NOR,Norway,1
2015,COD,Dem. Rep. of the Congo,MWI,Malawi,CAN,Canada,47
2015,COD,Dem. Rep. of the Congo,NAM,Namibia,FRA,France,1
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,636
2015,COD,Dem. Rep. of the Congo,ZMB,Zambia,NOR,Norway,13
2015,COD,Dem. Rep. of the Congo,MOZ,Mozambique,CAN,Canada,3
2015,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,480
2015,SOM,Somalia,ZMB,Zambia,USA,United States of America,18
2015,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,NOR,Norway,2
2015,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,11
2015,SOM,Somalia,MWI,Malawi,USA,United States of America,3
2015,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,227
2016,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,6
2016,COD,Dem. Rep. of the Congo,ZAF,South Africa,NOR,Norway,1
2016,SOM,Somalia,ZAF,South Africa,USA,United States of America,921
