Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2005,AFG,Afghanistan,KAZ,Kazakhstan,CAN,Canada,51
2005,IRQ,Iraq,LKA,Sri Lanka,USA,United States of America,4
2005,IRQ,Iraq,CHN,China,NLD,Netherlands,2
2005,AFG,Afghanistan,TJK,Tajikistan,FIN,Finland,3
2005,MMR,Myanmar,PAK,Pakistan,USA,United States of America,1
2005,SOM,Somalia,THA,Thailand,NLD,Netherlands,1
2005,MMR,Myanmar,NPL,Nepal,SWE,Sweden,1
2005,IRN,Iran (Islamic Rep. of),IND,India,NOR,Norway,4
2005,AFG,Afghanistan,UZB,Uzbekistan,USA,United States of America,272
2005,AFG,Afghanistan,PAK,Pakistan,AUS,Australia,45
2005,AFG,Afghanistan,IND,India,DEU,Germany,2
2005,IRN,Iran (Islamic Rep. of),HKG,"China, Hong Kong SAR",CAN,Canada,2
2005,AFG,Afghanistan,MYS,Malaysia,CAN,Canada,4
2005,AFG,Afghanistan,MYS,Malaysia,USA,United States of America,13
2005,AFG,Afghanistan,HKG,"China, Hong Kong SAR",NLD,Netherlands,2
2005,SOM,Somalia,PAK,Pakistan,USA,United States of America,29
2005,AFG,Afghanistan,UZB,Uzbekistan,NLD,Netherlands,15
2005,SOM,Somalia,NPL,Nepal,SWE,Sweden,2
2005,MMR,Myanmar,MYS,Malaysia,NOR,Norway,259
2005,MMR,Myanmar,THA,Thailand,AUS,Australia,467
2005,SOM,Somalia,HKG,"China, Hong Kong SAR",CAN,Canada,17
2005,IRN,Iran (Islamic Rep. of),HKG,"China, Hong Kong SAR",USA,United States of America,5
2005,MMR,Myanmar,MYS,Malaysia,CAN,Canada,23
2005,IRN,Iran (Islamic Rep. of),MYS,Malaysia,USA,United States of America,12
2005,SOM,Somalia,HKG,"China, Hong Kong SAR",NLD,Netherlands,1
2005,AFG,Afghanistan,THA,Thailand,USA,United States of America,1
2005,SYR,Syrian Arab Rep.,PAK,Pakistan,SWE,Sweden,8
2005,AFG,Afghanistan,IND,India,AUS,Australia,17
2005,SDN,Sudan,MYS,Malaysia,NOR,Norway,2
2005,AFG,Afghanistan,IND,India,CAN,Canada,226
2005,MMR,Myanmar,HKG,"China, Hong Kong SAR",USA,United States of America,1
2005,SOM,Somalia,MYS,Malaysia,CAN,Canada,1
2005,IRQ,Iraq,MYS,Malaysia,USA,United States of America,7
2005,AFG,Afghanistan,IND,India,NLD,Netherlands,34
2005,COD,Dem. Rep. of the Congo,THA,Thailand,USA,United States of America,16
2005,COD,Dem. Rep. of the Congo,THA,Thailand,SWE,Sweden,5
2005,MMR,Myanmar,IND,India,AUS,Australia,2
2005,AFG,Afghanistan,PAK,Pakistan,NOR,Norway,1
2005,IRN,Iran (Islamic Rep. of),IND,India,CAN,Canada,1
2005,SOM,Somalia,HKG,"China, Hong Kong SAR",USA,United States of America,6
2005,SOM,Somalia,IND,India,GBR,United Kingdom of Great Britain and Northern Ireland,7
2005,SOM,Somalia,KHM,Cambodia,NZL,New Zealand,1
2005,AFG,Afghanistan,PAK,Pakistan,CAN,Canada,29
2005,MMR,Myanmar,MYS,Malaysia,USA,United States of America,1337
2005,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),NLD,Netherlands,16
2005,SDN,Sudan,CHN,China,SWE,Sweden,2
2005,MMR,Myanmar,THA,Thailand,NOR,Norway,571
2005,AFG,Afghanistan,IND,India,DNK,Denmark,11
2005,IRN,Iran (Islamic Rep. of),THA,Thailand,USA,United States of America,6
2005,IRN,Iran (Islamic Rep. of),THA,Thailand,SWE,Sweden,2
2005,SOM,Somalia,IND,India,AUS,Australia,6
2005,AFG,Afghanistan,IND,India,USA,United States of America,45
2005,MMR,Myanmar,THA,Thailand,CAN,Canada,848
2005,AFG,Afghanistan,IND,India,FIN,Finland,11
2005,MMR,Myanmar,IND,India,CAN,Canada,1
2005,AFG,Afghanistan,KGZ,Kyrgyzstan,GBR,United Kingdom of Great Britain and Northern Ireland,4
2005,IRN,Iran (Islamic Rep. of),IND,India,NZL,New Zealand,4
2005,IRN,Iran (Islamic Rep. of),PAK,Pakistan,CAN,Canada,1
2005,SOM,Somalia,MYS,Malaysia,USA,United States of America,11
2005,IRQ,Iraq,IRN,Iran (Islamic Rep. of),NLD,Netherlands,5
2005,AFG,Afghanistan,IND,India,SWE,Sweden,35
2005,IRN,Iran (Islamic Rep. of),IDN,Indonesia,AUS,Australia,31
2005,AFG,Afghanistan,TJK,Tajikistan,NOR,Norway,3
2005,AFG,Afghanistan,KGZ,Kyrgyzstan,DNK,Denmark,5
2005,IRQ,Iraq,THA,Thailand,USA,United States of America,11
2005,MMR,Myanmar,THA,Thailand,SWE,Sweden,551
2005,SOM,Somalia,IND,India,CAN,Canada,2
2005,ERI,Eritrea,IND,India,USA,United States of America,2
2005,AFG,Afghanistan,TJK,Tajikistan,CAN,Canada,34
2005,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),FIN,Finland,181
2005,IRQ,Iraq,MYS,Malaysia,GBR,United Kingdom of Great Britain and Northern Ireland,3
2005,MMR,Myanmar,IND,India,NZL,New Zealand,2
2005,MMR,Myanmar,PAK,Pakistan,CAN,Canada,1
2005,SDN,Sudan,MYS,Malaysia,USA,United States of America,14
2005,AFG,Afghanistan,KGZ,Kyrgyzstan,NLD,Netherlands,5
2005,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),SWE,Sweden,179
2005,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),AUS,Australia,375
2005,MMR,Myanmar,MYS,Malaysia,DNK,Denmark,167
2005,MMR,Myanmar,THA,Thailand,USA,United States of America,9989
2005,SOM,Somalia,THA,Thailand,SWE,Sweden,1
2005,COD,Dem. Rep. of the Congo,IDN,Indonesia,CAN,Canada,3
2005,IRN,Iran (Islamic Rep. of),IND,India,USA,United States of America,4
2005,IRN,Iran (Islamic Rep. of),TJK,Tajikistan,CAN,Canada,5
2005,COD,Dem. Rep. of the Congo,THA,Thailand,FIN,Finland,13
2005,IRQ,Iraq,IRN,Iran (Islamic Rep. of),SWE,Sweden,2
2005,IRN,Iran (Islamic Rep. of),THA,Thailand,GBR,United Kingdom of Great Britain and Northern Ireland,1
2005,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),NZL,New Zealand,23
2005,COD,Dem. Rep. of the Congo,THA,Thailand,CAN,Canada,5
2005,BTN,Bhutan,NPL,Nepal,USA,United States of America,3
2005,MMR,Myanmar,MYS,Malaysia,NLD,Netherlands,1
2005,IRQ,Iraq,IRN,Iran (Islamic Rep. of),AUS,Australia,3
2005,MMR,Myanmar,PAK,Pakistan,DNK,Denmark,1
2005,SOM,Somalia,THA,Thailand,USA,United States of America,9
2005,SDN,Sudan,THA,Thailand,SWE,Sweden,1
2005,IRN,Iran (Islamic Rep. of),IDN,Indonesia,CAN,Canada,3
2005,MMR,Myanmar,IND,India,USA,United States of America,33
2005,AFG,Afghanistan,UZB,Uzbekistan,CAN,Canada,783
2005,IRQ,Iraq,THA,Thailand,FIN,Finland,8
2005,SOM,Somalia,NPL,Nepal,USA,United States of America,1
2005,IRN,Iran (Islamic Rep. of),PAK,Pakistan,NLD,Netherlands,1
2005,AFG,Afghanistan,KGZ,Kyrgyzstan,SWE,Sweden,5
2005,MMR,Myanmar,THA,Thailand,GBR,United Kingdom of Great Britain and Northern Ireland,4
2005,MMR,Myanmar,MYS,Malaysia,NZL,New Zealand,121
2005,IRN,Iran (Islamic Rep. of),THA,Thailand,CAN,Canada,2
2005,SOM,Somalia,IRN,Iran (Islamic Rep. of),AUS,Australia,1
2005,AFG,Afghanistan,HKG,"China, Hong Kong SAR",CAN,Canada,3
2005,COD,Dem. Rep. of the Congo,THA,Thailand,DNK,Denmark,1
2005,SDN,Sudan,THA,Thailand,USA,United States of America,1
2005,SYR,Syrian Arab Rep.,THA,Thailand,SWE,Sweden,1
2006,MMR,Myanmar,BGD,Bangladesh,CAN,Canada,28
2006,SOM,Somalia,HKG,"China, Hong Kong SAR",USA,United States of America,12
2006,MMR,Myanmar,MYS,Malaysia,SWE,Sweden,31
2006,IRQ,Iraq,IRN,Iran (Islamic Rep. of),AUS,Australia,30
2006,AFG,Afghanistan,KAZ,Kazakhstan,CAN,Canada,360
2006,IRQ,Iraq,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,1
2006,SDN,Sudan,MYS,Malaysia,USA,United States of America,8
2006,IRQ,Iraq,THA,Thailand,USA,United States of America,1
2006,MMR,Myanmar,MYS,Malaysia,NOR,Norway,199
2006,AFG,Afghanistan,IND,India,DNK,Denmark,1
2006,BTN,Bhutan,NPL,Nepal,NZL,New Zealand,11
2006,MMR,Myanmar,THA,Thailand,NLD,Netherlands,264
2006,COD,Dem. Rep. of the Congo,KHM,Cambodia,SWE,Sweden,4
2006,SYR,Syrian Arab Rep.,THA,Thailand,CAN,Canada,1
2006,AFG,Afghanistan,MYS,Malaysia,AUS,Australia,6
2006,COD,Dem. Rep. of the Congo,KHM,Cambodia,CAN,Canada,3
2006,AFG,Afghanistan,IND,India,USA,United States of America,231
2006,SOM,Somalia,MYS,Malaysia,SWE,Sweden,1
2006,AFG,Afghanistan,KGZ,Kyrgyzstan,CAN,Canada,56
2006,AFG,Afghanistan,PAK,Pakistan,GBR,United Kingdom of Great Britain and Northern Ireland,3
2006,BTN,Bhutan,NPL,Nepal,USA,United States of America,2
2006,SDN,Sudan,KHM,Cambodia,NZL,New Zealand,1
2006,ERI,Eritrea,CHN,China,SWE,Sweden,1
2006,AFG,Afghanistan,TJK,Tajikistan,CAN,Canada,6
2006,MMR,Myanmar,THA,Thailand,USA,United States of America,12993
2006,BTN,Bhutan,NPL,Nepal,NOR,Norway,28
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),DNK,Denmark,1
2006,IRQ,Iraq,NRU,Nauru,NZL,New Zealand,2
2006,SDN,Sudan,THA,Thailand,NLD,Netherlands,1
2006,MMR,Myanmar,MYS,Malaysia,AUS,Australia,792
2006,SOM,Somalia,KHM,Cambodia,CAN,Canada,8
2006,MMR,Myanmar,IND,India,USA,United States of America,116
2006,IRQ,Iraq,NRU,Nauru,SWE,Sweden,1
2006,IRN,Iran (Islamic Rep. of),CHN,China,NZL,New Zealand,1
2006,AFG,Afghanistan,MYS,Malaysia,CAN,Canada,2
2006,MMR,Myanmar,THA,Thailand,GBR,United Kingdom of Great Britain and Northern Ireland,91
2006,IRN,Iran (Islamic Rep. of),NPL,Nepal,USA,United States of America,6
2006,IRN,Iran (Islamic Rep. of),TKM,Turkmenistan,NLD,Netherlands,6
2006,AFG,Afghanistan,HKG,"China, Hong Kong SAR",SWE,Sweden,2
2006,AFG,Afghanistan,TKM,Turkmenistan,CAN,Canada,17
2006,SOM,Somalia,THA,Thailand,USA,United States of America,8
2006,MMR,Myanmar,THA,Thailand,NOR,Norway,469
2006,MMR,Myanmar,MYS,Malaysia,DNK,Denmark,219
2006,COD,Dem. Rep. of the Congo,THA,Thailand,NZL,New Zealand,7
2006,BTN,Bhutan,NPL,Nepal,AUS,Australia,15
2006,IRN,Iran (Islamic Rep. of),CHN,China,CAN,Canada,1
2006,IRQ,Iraq,CHN,China,FIN,Finland,2
2006,IRQ,Iraq,KAZ,Kazakhstan,USA,United States of America,4
2006,AFG,Afghanistan,PAK,Pakistan,SWE,Sweden,7
2006,AFG,Afghanistan,IND,India,NZL,New Zealand,323
