Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2016,IRN,Iran (Islamic Rep. of),CUB,Cuba,CAN,Canada,9
2016,IRQ,Iraq,CUB,Cuba,CAN,Canada,2
2016,SYR,Syrian Arab Rep.,GRD,Grenada,USA,United States of America,1
2016,SOM,Somalia,CUB,Cuba,CAN,Canada,1
2016,SYR,Syrian Arab Rep.,TTO,Trinidad and Tobago,USA,United States of America,5
2016,SYR,Syrian Arab Rep.,CUW,Curacao,CAN,Canada,3
2016,SYR,Syrian Arab Rep.,JAM,Jamaica,CAN,Canada,3
2016,AFG,Afghanistan,CUB,Cuba,USA,United States of America,2
2017,SYR,Syrian Arab Rep.,TTO,Trinidad and Tobago,CAN,Canada,7
2017,COD,Dem. Rep. of the Congo,TTO,Trinidad and Tobago,CAN,Canada,1
2017,IRN,Iran (Islamic Rep. of),BHS,Bahamas,CAN,Canada,1
2017,AFG,Afghanistan,ECU,Ecuador,USA,United States of America,16
2017,SYR,Syrian Arab Rep.,ECU,Ecuador,USA,United States of America,3
2018,IRN,Iran (Islamic Rep. of),CUB,Cuba,GBR,United Kingdom of Great Britain and Northern Ireland,1
2018,IRN,Iran (Islamic Rep. of),CUB,Cuba,FRA,France,1
2018,IRQ,Iraq,CUB,Cuba,NLD,Netherlands,1
2018,SYR,Syrian Arab Rep.,CUB,Cuba,NLD,Netherlands,1
2018,SYR,Syrian Arab Rep.,TTO,Trinidad and Tobago,CAN,Canada,9
2018,ERI,Eritrea,CUB,Cuba,NOR,Norway,2
2018,SYR,Syrian Arab Rep.,HTI,Haiti,CAN,Canada,1
2018,AFG,Afghanistan,CUB,Cuba,CAN,Canada,1
2018,IRN,Iran (Islamic Rep. of),CUB,Cuba,CAN,Canada,1
2018,SYR,Syrian Arab Rep.,ATG,Antigua and Barbuda,FIN,Finland,1
2018,ERI,Eritrea,CUB,Cuba,SWE,Sweden,4
2018,IRN,Iran (Islamic Rep. of),CUB,Cuba,SWE,Sweden,6
2018,SYR,Syrian Arab Rep.,CUB,Cuba,SWE,Sweden,4
2018,ERI,Eritrea,CUB,Cuba,GBR,United Kingdom of Great Britain and Northern Ireland,1
2018,AFG,Afghanistan,CUB,Cuba,FRA,France,2
2019,AFG,Afghanistan,CUB,Cuba,SWE,Sweden,6
