Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2019,ERI,Eritrea,NER,Niger,LUX,Luxembourg,21
2019,ERI,Eritrea,NER,Niger,NLD,Netherlands,50
2019,SOM,Somalia,NER,Niger,USA,United States of America,2
2019,SDN,Sudan,NER,Niger,CAN,Canada,31
2019,ERI,Eritrea,NER,Niger,FRA,France,151
2019,ERI,Eritrea,NER,Niger,GBR,United Kingdom of Great Britain and Northern Ireland,55
2019,SYR,Syrian Arab Rep.,NER,Niger,CAN,Canada,4
2019,SOM,Somalia,NER,Niger,NLD,Netherlands,2
2019,SDN,Sudan,TCD,Chad,USA,United States of America,8
2019,SOM,Somalia,NER,Niger,FRA,France,41
2019,SDN,Sudan,NER,Niger,GBR,United Kingdom of Great Britain and Northern Ireland,5
2019,COD,Dem. Rep. of the Congo,MLI,Mali,CAN,Canada,1
2019,SDN,Sudan,NER,Niger,FRA,France,2
2019,SOM,Somalia,NER,Niger,GBR,United Kingdom of Great Britain and Northern Ireland,16
2019,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,5
2019,SYR,Syrian Arab Rep.,NER,Niger,FRA,France,1
2019,SDN,Sudan,CMR,Cameroon,CAN,Canada,1
2019,SDN,Sudan,TCD,Chad,FRA,France,499
2019,SDN,Sudan,TCD,Chad,CAN,Canada,3
2019,SDN,Sudan,NER,Niger,SWE,Sweden,30
2019,SOM,Somalia,NER,Niger,FIN,Finland,38
2019,COD,Dem. Rep. of the Congo,SEN,Senegal,CAN,Canada,4
2019,SOM,Somalia,NER,Niger,DEU,Germany,2
2019,ERI,Eritrea,NER,Niger,SWE,Sweden,208
2019,SDN,Sudan,NER,Niger,FIN,Finland,18
2019,SOM,Somalia,SEN,Senegal,CAN,Canada,1
2019,ERI,Eritrea,NER,Niger,DEU,Germany,2
2019,SOM,Somalia,NER,Niger,SWE,Sweden,28
2019,ERI,Eritrea,NER,Niger,FIN,Finland,67
2019,SDN,Sudan,SEN,Senegal,CAN,Canada,1
2019,SDN,Sudan,NER,Niger,DEU,Germany,1
2019,SDN,Sudan,TCD,Chad,SWE,Sweden,83
2019,SDN,Sudan,NER,Niger,USA,United States of America,9
2019,SDN,Sudan,TCD,Chad,FIN,Finland,5
2019,ERI,Eritrea,NER,Niger,CAN,Canada,69
2019,SDN,Sudan,NER,Niger,LUX,Luxembourg,8
