Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,FRA,France,7
2010,SDN,Sudan,MLT,Malta,USA,United States of America,15
2010,AFG,Afghanistan,UKR,Ukraine,NOR,Norway,1
2010,AFG,Afghanistan,RUS,Russian Federation,CAN,Canada,61
2010,ERI,Eritrea,TUR,Turkey,USA,United States of America,7
2010,SOM,Somalia,RUS,Russian Federation,SWE,Sweden,3
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,NLD,Netherlands,25
2010,AFG,Afghanistan,UKR,Ukraine,FRA,France,9
2010,IRQ,Iraq,TUR,Turkey,NLD,Netherlands,6
2010,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,3
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,1433
2010,IRQ,Iraq,SRB,Serbia and Kosovo: S/RES/1244 (1999),SWE,Sweden,4
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,ITA,Italy,3
2010,COD,Dem. Rep. of the Congo,UKR,Ukraine,FRA,France,4
2010,AFG,Afghanistan,AZE,Azerbaijan,DNK,Denmark,2
2010,SOM,Somalia,RUS,Russian Federation,CAN,Canada,1
2010,IRQ,Iraq,TUR,Turkey,USA,United States of America,3018
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,SWE,Sweden,50
2010,IRQ,Iraq,UKR,Ukraine,FRA,France,2
2010,IRN,Iran (Islamic Rep. of),BLR,Belarus,DNK,Denmark,1
2010,IRQ,Iraq,TUR,Turkey,CHE,Switzerland,1
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,DEU,Germany,41
2010,AFG,Afghanistan,TUR,Turkey,CAN,Canada,58
2010,SOM,Somalia,TUR,Turkey,USA,United States of America,89
2010,IRQ,Iraq,TUR,Turkey,SWE,Sweden,12
2010,AFG,Afghanistan,RUS,Russian Federation,FIN,Finland,5
2010,SOM,Somalia,UKR,Ukraine,FRA,France,2
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,NZL,New Zealand,1
2010,AFG,Afghanistan,AZE,Azerbaijan,NOR,Norway,1
2010,AFG,Afghanistan,UKR,Ukraine,PRT,Portugal,5
2010,IRN,Iran (Islamic Rep. of),TUR,Turkey,CZE,Czechia,3
2010,AFG,Afghanistan,RUS,Russian Federation,DNK,Denmark,2
2010,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,43
2010,ERI,Eritrea,TUR,Turkey,CAN,Canada,10
2010,SDN,Sudan,TUR,Turkey,USA,United States of America,12
2011,COD,Dem. Rep. of the Congo,AZE,Azerbaijan,FRA,France,1
2011,ERI,Eritrea,TUR,Turkey,CAN,Canada,2
2011,SOM,Somalia,MLT,Malta,USA,United States of America,275
2011,COD,Dem. Rep. of the Congo,TUR,Turkey,USA,United States of America,8
2011,SOM,Somalia,TUR,Turkey,NOR,Norway,1
2011,COD,Dem. Rep. of the Congo,RUS,Russian Federation,SWE,Sweden,1
2011,SOM,Somalia,UKR,Ukraine,USA,United States of America,5
2011,AFG,Afghanistan,BLR,Belarus,FRA,France,17
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,CAN,Canada,549
2011,SDN,Sudan,MLT,Malta,USA,United States of America,26
2011,ERI,Eritrea,TUR,Turkey,USA,United States of America,11
2011,SYR,Syrian Arab Rep.,TUR,Turkey,NOR,Norway,1
2011,SOM,Somalia,RUS,Russian Federation,SWE,Sweden,3
2011,SOM,Somalia,RUS,Russian Federation,FIN,Finland,2
2011,SYR,Syrian Arab Rep.,MDA,Rep. of Moldova,FRA,France,1
2011,IRQ,Iraq,TUR,Turkey,CAN,Canada,128
2011,AFG,Afghanistan,RUS,Russian Federation,USA,United States of America,256
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,1234
2011,SOM,Somalia,UKR,Ukraine,NOR,Norway,1
2011,IRQ,Iraq,SRB,Serbia and Kosovo: S/RES/1244 (1999),SWE,Sweden,3
2011,SOM,Somalia,UKR,Ukraine,FIN,Finland,1
2011,COD,Dem. Rep. of the Congo,RUS,Russian Federation,FRA,France,1
2011,SOM,Somalia,TUR,Turkey,CAN,Canada,33
2011,COD,Dem. Rep. of the Congo,RUS,Russian Federation,USA,United States of America,1
2011,AFG,Afghanistan,AZE,Azerbaijan,DNK,Denmark,1
2011,IRQ,Iraq,TUR,Turkey,USA,United States of America,3280
2011,AFG,Afghanistan,TUR,Turkey,SWE,Sweden,1
2011,AFG,Afghanistan,TUR,Turkey,FRA,France,4
2011,SDN,Sudan,TUR,Turkey,CAN,Canada,5
2011,ERI,Eritrea,RUS,Russian Federation,USA,United States of America,3
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,BEL,Belgium,3
2011,COD,Dem. Rep. of the Congo,RUS,Russian Federation,DNK,Denmark,1
2011,SOM,Somalia,TUR,Turkey,USA,United States of America,87
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,5
2011,AFG,Afghanistan,AZE,Azerbaijan,CAN,Canada,26
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,SWE,Sweden,1
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,FRA,France,10
2011,SYR,Syrian Arab Rep.,TUR,Turkey,CAN,Canada,5
2011,IRN,Iran (Islamic Rep. of),RUS,Russian Federation,USA,United States of America,5
2011,AFG,Afghanistan,TUR,Turkey,AUS,Australia,5
2011,SOM,Somalia,RUS,Russian Federation,DNK,Denmark,3
2011,SDN,Sudan,TUR,Turkey,USA,United States of America,13
2011,IRQ,Iraq,AZE,Azerbaijan,CAN,Canada,14
2011,IRQ,Iraq,TUR,Turkey,SWE,Sweden,1
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,222
2011,COD,Dem. Rep. of the Congo,UKR,Ukraine,CAN,Canada,6
2011,IRQ,Iraq,RUS,Russian Federation,USA,United States of America,8
2011,IRQ,Iraq,SRB,Serbia and Kosovo: S/RES/1244 (1999),DNK,Denmark,6
2011,SYR,Syrian Arab Rep.,TUR,Turkey,USA,United States of America,6
2011,AFG,Afghanistan,RUS,Russian Federation,CAN,Canada,23
2011,IRN,Iran (Islamic Rep. of),ARM,Armenia,USA,United States of America,1
2011,IRQ,Iraq,UKR,Ukraine,SWE,Sweden,1
2011,SOM,Somalia,RUS,Russian Federation,USA,United States of America,3
2011,IRQ,Iraq,TUR,Turkey,AUS,Australia,226
2011,COD,Dem. Rep. of the Congo,RUS,Russian Federation,NOR,Norway,1
2011,AFG,Afghanistan,UKR,Ukraine,USA,United States of America,23
2011,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,3
2011,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,67
2011,SDN,Sudan,RUS,Russian Federation,USA,United States of America,2
2011,SOM,Somalia,RUS,Russian Federation,NOR,Norway,2
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,NLD,Netherlands,3
2011,COD,Dem. Rep. of the Congo,UKR,Ukraine,USA,United States of America,3
2011,AFG,Afghanistan,TUR,Turkey,CAN,Canada,85
2011,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,USA,United States of America,1
2011,IRQ,Iraq,SRB,Serbia and Kosovo: S/RES/1244 (1999),USA,United States of America,3
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,255
2011,IRQ,Iraq,TUR,Turkey,NLD,Netherlands,2
2011,IRN,Iran (Islamic Rep. of),UKR,Ukraine,USA,United States of America,3
2011,COD,Dem. Rep. of the Congo,TUR,Turkey,CAN,Canada,12
2011,ERI,Eritrea,MLT,Malta,USA,United States of America,85
2011,AFG,Afghanistan,TUR,Turkey,USA,United States of America,218
2011,IRQ,Iraq,TUR,Turkey,NOR,Norway,1
2011,IRQ,Iraq,UKR,Ukraine,USA,United States of America,6
2011,IRQ,Iraq,UKR,Ukraine,NLD,Netherlands,1
2011,IRN,Iran (Islamic Rep. of),TUR,Turkey,DEU,Germany,17
2011,AFG,Afghanistan,AZE,Azerbaijan,SWE,Sweden,1
2012,ERI,Eritrea,TUR,Turkey,USA,United States of America,11
2012,AFG,Afghanistan,UKR,Ukraine,FRA,France,1
2012,AFG,Afghanistan,RUS,Russian Federation,CAN,Canada,79
2012,AFG,Afghanistan,AZE,Azerbaijan,NLD,Netherlands,5
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,DEU,Germany,12
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,1400
2012,SDN,Sudan,TUR,Turkey,CAN,Canada,2
2012,COD,Dem. Rep. of the Congo,RUS,Russian Federation,CAN,Canada,2
2012,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,35
2012,AFG,Afghanistan,TUR,Turkey,NLD,Netherlands,1
2012,IRQ,Iraq,TUR,Turkey,DEU,Germany,122
2012,IRQ,Iraq,TUR,Turkey,USA,United States of America,3327
2012,SYR,Syrian Arab Rep.,TUR,Turkey,CAN,Canada,1
2012,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,5
2012,AFG,Afghanistan,TUR,Turkey,PRT,Portugal,1
2012,ERI,Eritrea,MLT,Malta,USA,United States of America,34
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,NLD,Netherlands,6
2012,SOM,Somalia,TUR,Turkey,USA,United States of America,124
2012,IRQ,Iraq,RUS,Russian Federation,NOR,Norway,1
2012,COD,Dem. Rep. of the Congo,UKR,Ukraine,CAN,Canada,4
2012,SDN,Sudan,RUS,Russian Federation,CAN,Canada,1
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,PRT,Portugal,2
2012,SOM,Somalia,MLT,Malta,USA,United States of America,71
2012,SDN,Sudan,TUR,Turkey,USA,United States of America,26
2012,AFG,Afghanistan,RUS,Russian Federation,FIN,Finland,2
2012,ERI,Eritrea,UKR,Ukraine,FRA,France,1
2012,AFG,Afghanistan,TUR,Turkey,NOR,Norway,67
2012,SOM,Somalia,UKR,Ukraine,CAN,Canada,5
2012,AFG,Afghanistan,TUR,Turkey,CAN,Canada,62
2012,SDN,Sudan,MLT,Malta,USA,United States of America,2
2012,SYR,Syrian Arab Rep.,TUR,Turkey,USA,United States of America,1
2012,IRQ,Iraq,SRB,Serbia and Kosovo: S/RES/1244 (1999),FIN,Finland,3
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,386
2012,COD,Dem. Rep. of the Congo,TUR,Turkey,CAN,Canada,6
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,4
2012,AFG,Afghanistan,RUS,Russian Federation,USA,United States of America,51
2012,AFG,Afghanistan,UKR,Ukraine,USA,United States of America,7
2012,AFG,Afghanistan,TUR,Turkey,FIN,Finland,66
2012,AFG,Afghanistan,RUS,Russian Federation,FRA,France,14
2012,IRQ,Iraq,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,1
2012,SOM,Somalia,TUR,Turkey,NOR,Norway,1
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,CAN,Canada,494
