Year,Country of Origin (ISO),Country of Origin,Latitude - Country of Origin,Longitude - Country of Origin,Country of Asylum (ISO),Country of Asylum,Latitude - Country of Asylum,Longitude - Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Latitude - Country of Resettlement,Longitude - Country of Resettlement,Total departures (persons)
2007,MMR,Myanmar,22,98,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,1
2012,SDN,Sudan,15,30,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,2
2013,SYR,Syrian Arab Republic,35,38,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,9
2014,SYR,Syrian Arab Republic,35,38,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,4
2016,SYR,Syrian Arab Republic,35,38,CUB,Cuba,21.5,-80,USA,United States of America,38,-97,4
2016,AFG,Afghanistan,33,65,ECU,Ecuador,-2,-77.5,USA,United States of America,38,-97,5
2019,AFG,Afghanistan,33,65,ECU,Ecuador,-2,-77.5,USA,United States of America,38,-97,6
2019,IRN,Iran,32,53,ECU,Ecuador,-2,-77.5,USA,United States of America,38,-97,1
2008,IRQ,Iraq,33,44,ECU,Ecuador,-2,-77.5,USA,United States of America,38,-97,1
2016,IRQ,Iraq,33,44,ECU,Ecuador,-2,-77.5,USA,United States of America,38,-97,1
2019,IRQ,Iraq,33,44,ECU,Ecuador,-2,-77.5,USA,United States of America,38,-97,1
2013,ERI,Eritrea,15,39,SLV,El Salvador,13.8333,-88.9167,USA,United States of America,38,-97,15
2013,IRQ,Iraq,33,44,SLV,El Salvador,13.8333,-88.9167,USA,United States of America,38,-97,12
2013,SOM,Somalia,10,49,SLV,El Salvador,13.8333,-88.9167,USA,United States of America,38,-97,64
2013,SDN,Sudan,15,30,SLV,El Salvador,13.8333,-88.9167,USA,United States of America,38,-97,882
2010,IRQ,Iraq,33,44,HTI,Haiti,19,-72.4167,USA,United States of America,38,-97,2
2010,MMR,Myanmar,22,98,JAM,Jamaica,18.25,-77.5,USA,United States of America,38,-97,4
2008,IRQ,Iraq,33,44,PER,Peru,-10,-76,USA,United States of America,38,-97,1
2009,IRQ,Iraq,33,44,PER,Peru,-10,-76,USA,United States of America,38,-97,10
2016,SYR,Syrian Arab Republic,35,38,LCA,Saint Lucia,13.8833,-61.1333,USA,United States of America,38,-97,1
2014,COD,Dem. Rep. of the Congo,0,25,TTO,Trinidad and Tobago,11,-61,USA,United States of America,38,-97,1
2012,SOM,Somalia,10,49,TTO,Trinidad and Tobago,11,-61,USA,United States of America,38,-97,2
2015,SYR,Syrian Arab Republic,35,38,TTO,Trinidad and Tobago,11,-61,USA,United States of America,38,-97,5
2016,SYR,Syrian Arab Republic,35,38,TTO,Trinidad and Tobago,11,-61,USA,United States of America,38,-97,4
